response_id,consent,start_date,end_date,recorded_date,progress,finished,list,item,block,sensibility,type,direction,correct_response,duration_in_seconds,external_reference,sender,response,response_action,ended_on,duration,phase,concreteness,text,correct,congruency
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,11,1,sensible,transfer,towards,s,155,NA,sentence_screen,s,keypress(s),response,76.89999999999418,exp,abstract,Cory blew you a kiss.,TRUE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,39,1,sensible,transfer,towards,s,155,NA,sentence_screen,w,keypress(w),response,62.13999999999942,exp,concrete,Jason hit you the baseball.,FALSE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,40,1,sensible,transfer,away,s,155,NA,sentence_screen,s,keypress(s),response,45.19999999999709,exp,concrete,You dispensed the rations to Travis.,TRUE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,36,1,sensible,transfer,away,s,155,NA,sentence_screen,w,keypress(w),response,110.22000000000116,exp,concrete,You delivered the pizza to Ummu Kulthoom.,FALSE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,14,1,sensible,transfer,away,s,155,NA,sentence_screen,s,keypress(s),response,30.5,exp,abstract,You told Ghaamid the story.,TRUE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,18,1,sensible,transfer,away,s,155,NA,sentence_screen,s,keypress(s),response,18.619999999995343,exp,abstract,You bestowed the honor upon Spencer.,TRUE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,13,1,sensible,transfer,towards,s,155,NA,sentence_screen,w,keypress(w),response,37.679999999993015,exp,abstract,Umaira gave you another chance.,FALSE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,38,1,sensible,transfer,away,s,155,NA,sentence_screen,s,keypress(s),response,120.89999999999418,exp,concrete,You drove the car to Gloria.,TRUE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,37,1,sensible,transfer,towards,s,155,NA,sentence_screen,w,keypress(w),response,76.02000000000407,exp,concrete,Leah handed you the puppy.,FALSE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,34,1,sensible,transfer,away,s,155,NA,sentence_screen,s,keypress(s),response,36.36000000000058,exp,concrete,You kicked the football to Timothy.,TRUE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,35,1,sensible,transfer,towards,s,155,NA,sentence_screen,w,keypress(w),response,70.4600000000064,exp,concrete,Charles entrusted the key to you.,FALSE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,32,1,sensible,transfer,away,s,155,NA,sentence_screen,w,keypress(w),response,60.5,exp,concrete,You rolled Selena the marble.,FALSE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,16,1,sensible,transfer,away,s,155,NA,sentence_screen,s,keypress(s),response,45.38000000000466,exp,abstract,You sent Charles your regards.,TRUE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,19,1,sensible,transfer,towards,s,155,NA,sentence_screen,s,keypress(s),response,59.520000000004075,exp,abstract,Sheldon radioed the message to you.,TRUE,congruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,12,1,sensible,transfer,away,s,155,NA,sentence_screen,w,keypress(w),response,66.88000000000466,exp,abstract,You transmitted the order to Davis.,FALSE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,20,1,sensible,transfer,away,s,155,NA,sentence_screen,s,keypress(s),response,102.25999999999476,exp,abstract,You conveyed the message to Shaamila.,TRUE,incongruent
R_3fCqQko0KQrT4Wz,Yes,2020-11-18T05:03:14Z,2020-11-18T05:05:49Z,2020-11-18T05:05:49Z,100,TRUE,4,17,1,sensible,transfer,towards,s,155,NA,sentence_screen,s,keypress(s),response,89.86000000000058,exp,abstract,Daniel gave you a piece of their mind.,TRUE,congruent
